occup,T_amb,T_tank,T_space,Ir_gain,Cond_losses,Vent_losses,heat_hp,heat_rate_sp,Tret_sp,heat_rate_wat,Tret_wat,water_forheat,COP_water,COP_space,hp_oper,space_ON,water_ON,P_con,time
1.0,23.2,37.19781981465412,22.32011539004559,0.829055039061157,-0.07967795085442152,-0.061639152153031555,8.29937142857143,-0.33739928650281925,4.60854542966612,9.583075602365174,39.981441570881216,0.8571428571428571,3.7633184703481697,1.0670662295543651,1.0,0.8571428571428571,0.8571428571428571,2.3673483049776975,2023-01-23T19:28:00.0
1.0,23.185714285714283,37.84274296437694,22.318980546978114,0.7550990976214036,-0.07848707371125392,-0.060717885270084336,8.297942857142857,-0.41346737196868705,4.60854542966612,9.580796837807856,39.98186918445539,0.8571428571428571,3.7616193060066445,1.0670662295543651,1.0,0.8571428571428571,0.8571428571428571,2.367901587245824,2023-01-23T19:29:00.0
1.0,23.185714285714283,38.48751275748685,22.31758984877727,0.6203322952351513,-0.07861300838683154,-0.0608153087924771,8.297942857142857,-0.5480108161569689,4.60854542966612,9.579946620352674,39.98186918445539,0.8571428571428571,3.7616193060066445,1.0670662295543651,1.0,0.8571428571428571,0.8571428571428571,2.367901587245824,2023-01-23T19:30:00.0
1.0,23.17142857142857,39.132225332544635,22.315746613475664,0.47538925280685324,-0.07748627970242535,-0.05994366739020015,6.6422285714285705,-0.6949522286719502,4.60854542966612,7.9288382451627255,33.33461617405583,0.8571428571428571,3.0735722653953923,1.0670662295543651,0.8571428571428571,0.8571428571428571,0.7142857142857143,2.0242703662252906,2023-01-23T19:31:00.0
1.0,23.17142857142857,32.48751108370787,22.31340914048599,0.4373792676026525,-0.07769794956900523,-0.0601074159677228,6.6422285714285705,-0.7325867954320484,4.60854542966612,7.928133690803665,33.33461617405583,0.7142857142857143,3.0735722653953923,1.0670662295543651,0.8571428571428571,0.8571428571428571,0.7142857142857143,2.0242703662252906,2023-01-23T19:32:00.0
1.0,23.142857142857142,33.021059723357006,22.310945083567738,0.4312767549420644,-0.07533379652895181,-0.0582784985898756,6.638742857142858,-0.7449395213676798,4.607929666119321,7.926000405707514,33.33504378762999,0.7142857142857143,3.0720482086059038,1.0646184701904196,0.8571428571428571,0.8571428571428571,0.7142857142857143,2.0255298065928025,2023-01-23T19:33:00.0
1.0,23.142857142857142,33.55446479689015,22.308439478235034,0.4149889711466392,-0.07556069161985504,-0.05845402545622932,6.638742857142858,-0.7608248832058476,4.607929666119321,7.925295781982423,33.33504378762999,0.7142857142857143,3.0720482086059038,1.0646184701904196,0.8571428571428571,0.8571428571428571,0.7142857142857143,2.0255298065928025,2023-01-23T19:34:00.0
1.0,23.142857142857142,34.087822450558214,22.30588044246107,0.4066604360830564,-0.07579242510436603,-0.05863329532144988,6.638742857142858,-0.7687424149196994,4.607929666119321,7.924591193372133,33.33504378762999,0.7142857142857143,3.0720482086059038,1.0646184701904196,0.8571428571428571,0.8571428571428571,0.7142857142857143,2.0255298065928025,2023-01-23T19:35:00.0
1.0,23.114285714285717,34.621132686724344,22.303294776055882,0.32996616128064565,-0.07343928441140249,-0.056812897135305795,3.4144571428571426,-0.8496102286012174,4.607929666119321,4.71043486857297,20.01445333880679,0.7142857142857143,1.7954824442731474,1.0646184701904196,0.5714285714285714,0.8571428571428571,0.42857142857142855,1.3038806444934328,2023-01-23T19:36:00.0
1.0,23.114285714285717,20.549476490838426,22.300437110623392,0.28453726341881364,-0.07369806030464142,-0.05701308710613012,3.4144571428571426,-0.8945801605989864,4.607929666119321,4.710015662037782,20.01445333880679,0.42857142857142855,1.7954824442731474,1.0646184701904196,0.5714285714285714,0.8571428571428571,0.42857142857142855,1.3038806444934328,2023-01-23T19:37:00.0
